buffer,avg_ms,p99_ms,max_ms
sensor_data,0.008837385423248634,0.025881478286464695,0.11584799358388409
filtered,0.006304349037236534,0.02603666289360262,0.12127900117775425
weight,0.0029542883930844255,0.007465535163646556,0.0543650021427311
output,0.0022411106001527514,0.014883480398566462,0.11323099897708744
log_entry,0.0008335130041814409,0.0133640987041872,0.039216000004671514
