workload,buffer,avg_ms,p99_ms,max_ms
Embedded,sensor_data,0.015983119927113876,0.07236837132950309,1.199225996970199
Embedded,filtered,0.011226375070691574,0.06309754317044272,0.7912069995654747
Embedded,weight,0.004833329941902775,0.024460789863951487,0.14985099551267922
Embedded,output,0.003453347038885113,0.01076319225830957,0.27162599144503474
Embedded,log_entry,0.0005770674979430623,0.001286406477447599,0.005189009243622422
AI Inference,ai_input,9.33849419360437,31.538967510714425,36.03977999591734
AI Inference,ai_w1,2.2421190798922908,15.530243336834241,28.35416598827578
AI Inference,ai_b1,2.2375605931544365,15.577622262790095,28.351824003038928
AI Inference,ai_hidden,0.03446946264981913,0.16996364327496774,0.812885002233088
AI Inference,ai_w2,1.472534099496746,12.017093061585909,18.285690995980985
AI Inference,ai_b2,1.4726321840619978,12.022010954970028,18.23564500955399
AI Inference,ai_relu,2.4197438532913416,12.912676339765301,21.481171002960764
AI Inference,ai_logits,0.1266806161341568,0.6592359940987048,1.7473070038249716
AI Inference,ai_output,0.002856167314651733,0.005065672448836261,0.03658898640424013
Physics Simulation,forces,0.012266972316865576,0.0541632827662397,0.3847189946100116
Physics Simulation,new_velocities,0.013170210004318506,0.04678507524658924,4.852183003094979
Physics Simulation,damped_velocities,0.0197363123697869,0.09375326219014811,2.937059005489573
Physics Simulation,accelerations,0.06568342227183166,0.2264301679679188,5.068833997938782
Physics Simulation,new_positions,0.010393426346126944,0.03562878162483683,0.07659499533474445
Physics Simulation,positions_state,225.5754610087024,225.5754610087024,225.5754610087024
Physics Simulation,velocities_state,225.57649400550872,225.57649400550872,225.57649400550872
Physics Simulation,mass_state,225.57723701174837,225.57723701174837,225.57723701174837
